
 C:\WinTa100\DIL805.PRO\Data\Quenching\958-Micaela Moron-Zry4-M11-25C-60s-1050C-0.5Cs-5m-25C-0.5Cs-25C-60s-02.06.25.PAR
                Time - Temperature  /  rel. Change in Length  /  dif. Change in Length 
                  s                °C                    %
  4946      2502,00219727     1003,94421387        0,22263139       -0,06480318
  4947      2502,50292969     1003,69683838        0,22225097       -0,06444448
  4948      2503,00268555     1003,54595947        0,22146295       -0,06583679
  4949      2503,50219727     1003,28863525        0,22138144       -0,06778996
  4950      2504,00292969     1002,99145508        0,22108252       -0,06770947
  4951      2504,50219727     1002,78344727        0,22075644       -0,06695801
  4952      2505,00292969     1002,55065918        0,22067492       -0,06520608
  4953      2505,50219727     1002,20373535        0,22021298       -0,06328087
  4954      2506,00195313     1001,97174072        0,21956082       -0,06230704
  4955      2506,50219727     1001,66448975        0,21958798       -0,06338981
  4956      2507,00195313     1001,56884766        0,21942493       -0,06545096
  4957      2507,50268555     1001,26202393        0,21879996       -0,06339139
  4958      2508,00219727     1001,02008057        0,21844670       -0,06191120
  4959      2508,50292969     1000,79882813        0,21850106       -0,06363729
  4960      2509,00268555     1000,47485352        0,21765867       -0,06430263
  4961      2509,50195313     1000,33935547        0,21752281       -0,06450085
  4962      2510,00244141     1000,00598145        0,21754998       -0,06444728
  4963      2510,50219727      999,86334229        0,21716955       -0,06475469
  4964      2511,00292969      999,52832031        0,21665326       -0,06417084
  4965      2511,50244141      999,30426025        0,21608262       -0,06341441
  4966      2512,00195313      999,11401367        0,21591958       -0,06489006
  4967      2512,50268555      998,88500977        0,21602826       -0,06653293
  4968      2513,00219727      998,53033447        0,21513155       -0,06642309
  4969      2513,50292969      998,24700928        0,21496850       -0,06578391
  4970      2514,00268555      998,06091309        0,21491416       -0,06433429
  4971      2514,50292969      997,63085938        0,21431634       -0,06308401
  4972      2515,00244141      997,38293457        0,21412614       -0,06433587
  4973      2515,50195313      997,35150146        0,21366419       -0,06481083
  4974      2516,00292969      997,01562500        0,21325658       -0,06821071
  4975      2516,50244141      996,76269531        0,21333811       -0,06887890
  4976      2517,00195313      996,52764893        0,21265878       -0,07068698
  4977      2517,50292969      996,30877686        0,21282181       -0,07202153
  4978      2518,00244141      995,91613770        0,21178922       -0,06917922
  4979      2518,50195313      995,69451904        0,21162619       -0,07004265
  4980      2519,00268555      995,57415771        0,21119140       -0,06700924
  4981      2519,50219727      995,27716064        0,21072946       -0,06734432
  4982      2520,00292969      995,02667236        0,21056643       -0,06531214
  4983      2520,50268555      994,64978027        0,21024035       -0,06397306
  4984      2521,00244141      994,50463867        0,21015881       -0,06230269
  4985      2521,50219727      994,38946533        0,20991427       -0,06073998
  4986      2522,00195313      994,01147461        0,20975122       -0,06088069
  4987      2522,50244141      993,72052002        0,20901754       -0,06074307
  4988      2523,00219727      993,58929443        0,20888168       -0,06294157
  4989      2523,50292969      993,16009521        0,20828386       -0,06500077
  4990      2524,00244141      993,02270508        0,20814799       -0,06811620
  4991      2524,50292969      992,63671875        0,20776756       -0,06717185
  4992      2525,00244141      992,59838867        0,20755017       -0,06544648
  4993      2525,50219727      992,25170898        0,20727846       -0,06308186
  4994      2526,00292969      992,00585938        0,20684367       -0,06294547
  4995      2526,50244141      991,75537109        0,20646325       -0,06461646
  4996      2527,00195313      991,49572754        0,20608282       -0,06442362
  4997      2527,50268555      991,17651367        0,20611000       -0,06584366
  4998      2528,00219727      990,96014404        0,20581108       -0,06461743
  4999      2528,50268555      990,70861816        0,20507741       -0,06389344
  5000      2529,00244141      990,59356689        0,20488720       -0,06352999
  5001      2529,50195313      990,18927002        0,20439807       -0,06406107
  5002      2530,00244141      990,13281250        0,20445243       -0,06645446
  5003      2530,50195313      989,82965088        0,20396329       -0,06453191
  5004      2531,00268555      989,51025391        0,20369156       -0,06425356
  5005      2531,50219727      989,23779297        0,20347418       -0,06207735
  5006      2532,00195313      989,10650635        0,20290354       -0,06316322
  5007      2532,50244141      988,75469971        0,20268615       -0,06424653
  5008      2533,00219727      988,41375732        0,20227854       -0,06463702
  5009      2533,50292969      988,37536621        0,20227854       -0,06586396
  5010      2534,00244141      987,89398193        0,20165356       -0,06452792
  5011      2534,50292969      987,67639160        0,20149052       -0,06441878
  5012      2535,00244141      987,46655273        0,20094705       -0,06202198
  5013      2535,50292969      987,41265869        0,20078401       -0,06286129
  5014      2536,00244141      987,06256104        0,20062096       -0,06358465
  5015      2536,50195313      986,71166992        0,19988729       -0,06341989
  5016      2537,00268555      986,58679199        0,19988729       -0,06397703
  5017      2537,50219727      986,27355957        0,19980577       -0,06241725
  5018      2538,00292969      986,08532715        0,19915360       -0,06027316
  5019      2538,50219727      985,69915771        0,19893621       -0,05951691
  5020      2539,00292969      985,34283447        0,19855580       -0,05890679
  5021      2539,50244141      985,15911865        0,19806668       -0,05929388
  5022      2540,00195313      985,04559326        0,19801234       -0,05834919
  5023      2540,50292969      984,78192139        0,19795798       -0,06132992
  5024      2541,00219727      984,43994141        0,19768625       -0,06244304
  5025      2541,50268555      984,22637939        0,19687106       -0,06288989
  5026      2542,00219727      983,98651123        0,19730581       -0,06558591
  5027      2542,50292969      983,66857910        0,19651780       -0,06617463
  5028      2543,00244141      983,55944824        0,19608302       -0,06876045
  5029      2543,50195313      983,23071289        0,19570260       -0,06973581
  5030      2544,00268555      983,11376953        0,19505043       -0,06981943
  5031      2544,50219727      982,79046631        0,19496891       -0,07021046
  5032      2545,00292969      982,52398682        0,19507760       -0,06982332
  5033      2545,50219727      982,20965576        0,19418088       -0,06717718
  5034      2546,00292969      982,01324463        0,19423524       -0,06459021
  5035      2546,50244141      981,77801514        0,19388197       -0,06286094
  5036      2547,00195313      981,58172607        0,19336568       -0,06486733
  5037      2547,50268555      981,32940674        0,19303960       -0,06325409
  5038      2548,00219727      981,00915527        0,19265918       -0,06328237
  5039      2548,50195313      980,77136230        0,19263200       -0,06152584
  5040      2549,00268555      980,52496338        0,19206136       -0,06018734
  5041      2549,50244141      980,22790527        0,19189833       -0,06051861
  5042      2550,00195313      979,93377686        0,19140920       -0,06112951
  5043      2550,50268555      979,77862549        0,19165376       -0,06346650
  5044      2551,00219727      979,53845215        0,19108313       -0,06416299
  5045      2551,50292969      979,31329346        0,19083855       -0,06499939
  5046      2552,00244141      979,05078125        0,19029509       -0,06536071
  5047      2552,50292969      978,79046631        0,18994184       -0,06656059
  5048      2553,00244141      978,42846680        0,18928969       -0,06758846
  5049      2553,50292969      978,22357178        0,18934402       -0,06848288
  5050      2554,00268555      978,03863525        0,18888208       -0,06647790
  5051      2554,50219727      977,64501953        0,18869187       -0,06336183
  5052      2555,00292969      977,52404785        0,18842013       -0,06102552
  5053      2555,50219727      977,16912842        0,18809403       -0,06130391
  5054      2556,00292969      976,98107910        0,18760493       -0,06325410
  5055      2556,50244141      976,81146240        0,18757777       -0,06661852
  5056      2557,00292969      976,52526855        0,18722451       -0,06848516
  5057      2557,50244141      976,22399902        0,18684408       -0,06943003
  5058      2558,00195313      976,12377930        0,18646365       -0,07018381
  5059      2558,50268555      975,59979248        0,18586585       -0,07035306
  5060      2559,00244141      975,42620850        0,18537672       -0,06918227
  5061      2559,50292969      975,31445313        0,18529519       -0,06965771
  5062      2560,00244141      975,00238037        0,18502346       -0,06931902
  5063      2560,50195313      974,82257080        0,18448000       -0,06670365
  5064      2561,00268555      974,49591064        0,18437129       -0,06297269
  5065      2561,50195313      974,25994873        0,18418109       -0,06063613
  5066      2562,00268555      974,04162598        0,18388218       -0,05966137
  5067      2562,50219727      973,67059326        0,18314850       -0,05873994
  5068      2563,00268555      973,50201416        0,18306698       -0,05999248
  5069      2563,50195313      973,21850586        0,18287677       -0,06077039
